year,hires,terminations,net_change,net_change_percent
2000,188,22,166,88.30
2001,993,179,814,81.97
2002,951,155,796,83.70
2003,998,178,820,82.16
2004,998,184,814,81.56
2005,971,160,811,83.52
2006,986,161,825,83.67
2007,1001,141,860,85.91
2008,978,130,848,86.71
2009,1008,137,871,86.41
2010,965,110,855,88.60
2011,990,103,887,89.60
2012,981,97,884,90.11
2013,958,84,874,91.23
2014,952,79,873,91.70
2015,930,65,865,93.01
2016,991,57,934,94.25
2017,964,50,914,94.81
2018,1016,44,972,95.67
2019,963,45,918,95.33
2020,897,25,872,97.21
